,Device 1
40750292,1448.0
40750293,1440.0
40750294,1430.0
40750295,1427.0
40750296,1428.0
40750297,1461.0
40750298,1461.0
40750299,1459.0
40750302,1433.0
40750303,1452.0
40750304,1407.0
40750305,1435.0
40750306,1436.0
40750307,1430.0
40750308,1427.0
40750309,1427.0
40750310,1428.0
40750311,1380.0
40750312,1416.0
40750313,1424.0
40750314,1417.0
40750315,1404.0
40750316,1416.0
40750317,1417.0
40750318,1379.0
40750319,1415.0
40750320,1417.0
40750321,1405.0
40750322,1408.0
40750323,1424.0
40750324,1406.0
40750325,1415.0
40750326,1424.0
40750327,1417.0
40750328,1415.0
40750329,1426.0
40750330,1430.0
40750331,1389.0
40750332,1425.0
40750333,1428.0
40750334,1408.0
40750335,1435.0
40750336,1440.0
40750337,1449.0
40750338,1415.0
40750339,1438.0
40750340,1452.0
40750341,1407.0
40750342,1453.0
40750343,1462.0
40750344,1424.0
40750345,1453.0
40750346,1465.0
40750347,1463.0
40750348,1465.0
40750349,1474.0
40750350,1471.0
40750351,1465.0
40750352,1482.0
40750353,1405.0
40750354,1487.0
40750355,1484.0
40750356,1484.0
40750357,1488.0
40750358,1495.0
40750359,1500.0
40750360,1501.0
40750361,1474.0
40750362,1471.0
40750363,1498.0
40750364,1499.0
40750365,1508.0
40750366,1507.0
40750367,1463.0
40750368,1509.0
40750369,1510.0
40750370,1519.0
40750371,1528.0
40750372,1527.0
40750373,1519.0
40750374,1486.0
40750375,1484.0
40750376,1484.0
40750377,1485.0
40750378,1485.0
40750379,1520.0
40750380,1532.0
40750381,1532.0
40750382,1533.0
40750383,1545.0
40750384,1530.0
40750385,1507.0
40750386,1494.0
40750387,1494.0
40750388,1500.0
40750389,1533.0
40750390,1540.0
40750391,1541.0
40750392,1540.0
40750393,1544.0
40750394,1530.0
40750395,1509.0
40750396,1498.0
40750397,1530.0
40750398,1541.0
40750399,1542.0
40750400,1544.0
40750401,1554.0
40750403,1507.0
40750404,1552.0
40750405,1528.0
40750406,1541.0
40750407,1552.0
40750408,1554.0
40750409,1510.0
40750410,1553.0
40750411,1555.0
40750412,1556.0
40750413,1509.0
40750414,1555.0
40750415,1563.0
40750416,1563.0
40750417,1518.0
40750418,1555.0
40750419,1556.0
40750420,1555.0
40750421,1510.0
40750422,1555.0
40750423,1564.0
40750424,1564.0
40750425,1521.0
40750426,1556.0
40750427,1564.0
40750428,1532.0
40750429,1530.0
40750430,1566.0
40750431,1570.0
40750432,1530.0
40750433,1553.0
40750434,1567.0
40750435,1578.0
40750436,1534.0
40750437,1563.0
40750438,1564.0
40750439,1576.0
40750440,1533.0
40750441,1564.0
40750442,1568.0
40750443,1574.0
40750444,1532.0
40750445,1566.0
40750446,1568.0
40750447,1564.0
40750448,1564.0
40750449,1568.0
40750450,1576.0
40750451,1530.0
40750452,1564.0
40750453,1564.0
40750454,1510.0
40750455,1574.0
40750456,1530.0
40750457,1564.0
40750458,1567.0
40750459,1568.0
40750460,1575.0
40750461,1568.0
40750462,1533.0
40750463,1530.0
40750464,1527.0
40750465,1567.0
40750466,1564.0
40750467,1566.0
40750468,1552.0
40750469,1563.0
40750470,1564.0
40750471,1564.0
40750472,1556.0
40750473,1563.0
40750474,1566.0
40750475,1576.0
40750476,1575.0
40750477,1544.0
40750478,1519.0
40750479,1520.0
40750480,1535.0
40750481,1555.0
40750482,1563.0
40750483,1567.0
40750484,1567.0
40750485,1546.0
40750486,1518.0
40750487,1520.0
40750488,1534.0
40750489,1555.0
40750490,1563.0
40750491,1555.0
40750492,1562.0
40750493,1555.0
40750494,1519.0
40750495,1522.0
40750496,1555.0
40750497,1555.0
40750498,1564.0
40750499,1564.0
40750500,1547.0
40750501,1518.0
40750502,1519.0
40750504,1519.0
40750505,1508.0
40750506,1555.0
40750507,1542.0
40750508,1544.0
40750509,1552.0
40750510,1555.0
40750511,1510.0
40750512,1544.0
40750513,1554.0
40750514,1553.0
40750515,1509.0
40750516,1554.0
40750517,1555.0
40750518,1545.0
40750519,1544.0
40750520,1552.0
40750521,1556.0
40750522,1520.0
40750523,1545.0
40750524,1564.0
40750525,1555.0
40750526,1510.0
40750527,1553.0
40750528,1556.0
40750529,1555.0
40750530,1520.0
40750531,1554.0
40750532,1564.0
40750533,1562.0
40750534,1510.0
40750535,1555.0
40750536,1564.0
40750537,1554.0
40750538,1540.0
40750539,1556.0
40750540,1556.0
40750541,1541.0
40750542,1552.0
40750543,1555.0
40750544,1564.0
40750545,1540.0
40750546,1545.0
40750547,1563.0
40750548,1564.0
40750549,1522.0
40750550,1555.0
40750551,1555.0
40750552,1556.0
40750553,1564.0
40750554,1547.0
40750555,1510.0
40750556,1519.0
40750557,1553.0
40750558,1555.0
40750559,1564.0
40750560,1544.0
40750561,1518.0
40750562,1555.0
40750563,1564.0
40750564,1564.0
40750565,1563.0
40750566,1568.0
40750567,1546.0
40750568,1530.0
40750569,1564.0
40750570,1575.0
40750571,1568.0
40750572,1522.0
40750573,1555.0
40750574,1566.0
40750575,1574.0
40750576,1579.0
40750577,1544.0
40750578,1576.0
40750579,1577.0
40750580,1579.0
40750581,1582.0
40750582,1588.0
40750583,1576.0
40750584,1540.0
40750585,1540.0
40750586,1539.0
40750587,1540.0
40750588,1568.0
40750589,1575.0
40750590,1564.0
40750591,1564.0
40750592,1564.0
40750593,1555.0
40750594,1521.0
40750595,1519.0
40750596,1510.0
40750597,1553.0
40750598,1546.0
40750599,1546.0
40750600,1545.0
40750601,1546.0
40750602,1507.0
40750603,1494.0
40750605,1496.0
40750606,1540.0
40750607,1546.0
40750608,1510.0
40750609,1535.0
40750610,1542.0
40750611,1544.0
40750612,1530.0
40750613,1544.0
40750614,1554.0
40750615,1507.0
40750616,1544.0
40750617,1553.0
40750618,1500.0
40750619,1545.0
40750620,1555.0
40750621,1522.0
40750622,1530.0
40750623,1556.0
40750624,1564.0
40750625,1523.0
40750626,1556.0
40750627,1568.0
40750628,1555.0
40750629,1555.0
40750630,1576.0
40750631,1582.0
40750632,1552.0
40750633,1580.0
40750634,1590.0
40750635,1590.0
40750636,1544.0
40750637,1580.0
40750638,1590.0
40750639,1588.0
40750640,1575.0
40750641,1599.0
40750642,1599.0
40750643,1555.0
40750644,1555.0
40750645,1588.0
40750646,1589.0
40750647,1590.0
40750648,1547.0
40750649,1579.0
40750650,1589.0
40750651,1563.0
40750652,1578.0
40750653,1580.0
40750654,1576.0
40750655,1530.0
40750656,1499.0
40750657,1576.0
40750658,1544.0
40750659,1564.0
40750660,1568.0
40750661,1555.0
40750662,1578.0
40750663,1545.0
40750664,1522.0
40750665,1519.0
40750666,1519.0
40750667,1555.0
40750668,1563.0
40750669,1556.0
40750670,1555.0
40750671,1554.0
40750672,1507.0
40750673,1544.0
40750674,1554.0
40750675,1555.0
40750676,1519.0
40750677,1508.0
40750678,1531.0
40750679,1553.0
40750680,1553.0
40750681,1555.0
40750682,1555.0
40750683,1555.0
40750684,1539.0
40750685,1528.0
40750686,1519.0
40750687,1510.0
40750688,1527.0
40750689,1555.0
40750690,1563.0
40750691,1564.0
40750692,1566.0
40750693,1563.0
40750694,1540.0
40750695,1522.0
40750696,1531.0
40750697,1564.0
40750698,1564.0
40750699,1574.0
40750700,1574.0
40750701,1556.0
40750702,1519.0
40750703,1555.0
40750704,1566.0
40750707,1510.0
40750708,1530.0
40750709,1555.0
40750710,1564.0
40750711,1540.0
40750712,1555.0
40750713,1563.0
40750714,1564.0
40750715,1523.0
40750716,1556.0
40750717,1564.0
40750718,1564.0
40750719,1523.0
40750720,1563.0
